username,date_time,map_num,r_time,points_to,help_rt,rec_path,rec_score
1,2/4/23 0:04,3,8.368,"(1, 0)",7,"[""up"", ""up"", ""right"", ""right"", ""up"", ""up""]",-6
1,2/4/23 0:04,24,2.965,"(0, 4)",9,"[""left"", ""left"", ""left"", ""up"", ""up"", ""up"", ""up"", ""right""]",92
1,2/4/23 0:05,8,28.539,"(2, 3)",9,"[""up"", ""up"", ""right"", ""up"", ""up"", ""right""]",94
1,2/4/23 0:05,12,2.401,"(4, 3)",6,"[""right"", ""up"", ""right"", ""up"", ""right"", ""up"", ""left"", ""up""]",-8
1,2/4/23 0:06,2,7.031,"(0, 4)",5,"[""up"", ""right"", ""up"", ""right"", ""up"", ""up""]",-6
1,2/4/23 0:06,1,2.199,"(2, 0)",9,"[""up"", ""up"", ""up"", ""right"", ""up"", ""right""]",94
1,2/4/23 0:07,28,19.66,"(1, 2)",9,"[""left"", ""left"", ""up"", ""left"", ""left"", ""up"", ""up"", ""up"", ""right"", ""right""]",-10
1,2/4/23 0:07,7,3.809,"(0, 4)",9,"[""up"", ""up"", ""right"", ""up"", ""up"", ""right""]",94
2,2/4/23 0:07,20,6.647,"(3, 1)",7,"[""up"", ""up"", ""left"", ""up"", ""left"", ""up""]",-6
1,2/4/23 0:07,27,3.932,"(1, 3)",8,"[""left"", ""up"", ""left"", ""up"", ""left"", ""left"", ""up"", ""up"", ""right"", ""right""]",-10
2,2/4/23 0:07,4,6.286,"(0, 2)",8,"[""right"", ""up"", ""right"", ""up"", ""up"", ""up""]",94
3,2/4/23 0:08,16,17.999,"(4, 4)",7,"[""left"", ""left"", ""up"", ""up"", ""up"", ""up""]",94
1,2/4/23 0:08,14,10.423,"(3, 2)",9,"[""up"", ""right"", ""right"", ""right"", ""right"", ""up"", ""up"", ""up"", ""left"", ""left""]",90
2,2/4/23 0:08,8,8.322,"(2, 3)",8,"[""up"", ""up"", ""up"", ""right"", ""up"", ""right""]",94
1,2/4/23 0:08,25,5.886,"(1, 0)",9,"[""up"", ""left"", ""up"", ""left"", ""left"", ""up"", ""up"", ""right""]",92
3,2/4/23 0:08,24,7.773,"(0, 4)",7,"[""up"", ""left"", ""up"", ""left"", ""left"", ""up"", ""up"", ""right""]",-8
2,2/4/23 0:08,6,7.856,"(1, 2)",9,"[""right"", ""right"", ""up"", ""up"", ""up"", ""up""]",94
1,2/4/23 0:08,10,4.585,"(2, 2)",9,"[""up"", ""right"", ""right"", ""right"", ""up"", ""up"", ""up"", ""left""]",92
3,2/4/23 0:08,11,4.275,"(3, 0)",7,"[""right"", ""right"", ""up"", ""right"", ""up"", ""up"", ""up"", ""left""]",92
1,2/4/23 0:09,22,4.485,"(4, 4)",9,"[""up"", ""up"", ""left"", ""up"", ""left"", ""up""]",-6
3,2/4/23 0:09,20,7.108,"(3, 2)",9,"[""left"", ""left"", ""up"", ""up"", ""up"", ""up""]",94
2,2/4/23 0:09,1,16.27,"(1, 2)",5,"[""right"", ""up"", ""right"", ""up"", ""up"", ""up""]",94
1,2/4/23 0:09,20,4.685,"(3, 2)",9,"[""left"", ""left"", ""up"", ""up"", ""up"", ""up""]",94
3,2/4/23 0:09,5,7.174,"(2, 3)",7,"[""right"", ""up"", ""up"", ""up"", ""up"", ""right""]",94
4,2/4/23 0:09,21,18.404,"(4, 4)",6,"[""up"", ""up"", ""up"", ""left"", ""up"", ""left""]",94
2,2/4/23 0:09,24,7.378,"(2, 2)",7,"[""left"", ""up"", ""left"", ""left"", ""up"", ""up"", ""right"", ""up""]",92
1,2/4/23 0:09,11,3.072,"(3, 0)",7,"[""right"", ""right"", ""up"", ""up"", ""right"", ""up"", ""left"", ""up""]",-8
3,2/4/23 0:09,21,6.108,"(1, 3)",7,"[""up"", ""up"", ""up"", ""up"", ""left"", ""left""]",-6
1,2/4/23 0:10,16,1.952,"(4, 4)",9,"[""up"", ""up"", ""up"", ""left"", ""left"", ""up""]",94
4,2/4/23 0:10,18,13.639,"(4, 2)",8,"[""up"", ""left"", ""left"", ""up"", ""up"", ""up""]",94
2,2/4/23 0:10,10,4.481,"(2, 2)",9,"[""up"", ""right"", ""right"", ""right"", ""up"", ""up"", ""up"", ""left""]",92
3,2/4/23 0:10,14,9.057,"(3, 2)",6,"[""up"", ""right"", ""right"", ""right"", ""right"", ""up"", ""up"", ""left"", ""left"", ""up""]",90
2,2/4/23 0:10,2,5.183,"(1, 1)",9,"[""right"", ""right"", ""up"", ""up"", ""up"", ""up""]",94
1,2/4/23 0:10,18,6.354,"(4, 2)",8,"[""left"", ""left"", ""up"", ""up"", ""up"", ""up""]",94
3,2/4/23 0:10,4,2.906,"(0, 2)",9,"[""up"", ""right"", ""right"", ""up"", ""up"", ""up""]",94
4,2/4/23 0:10,7,16.423,"(0, 4)",9,"[""up"", ""up"", ""right"", ""up"", ""right"", ""up""]",94
1,2/4/23 0:10,4,2.83,"(0, 2)",9,"[""right"", ""up"", ""up"", ""right"", ""up"", ""up""]",94
2,2/4/23 0:10,23,8.097,"(3, 3)",6,"[""up"", ""up"", ""left"", ""left"", ""up"", ""up""]",94
3,2/4/23 0:11,3,12.314,"(1, 0)",7,"[""up"", ""up"", ""right"", ""up"", ""up"", ""right""]",94
4,2/4/23 0:11,16,13.275,"(3, 1)",6,"[""up"", ""up"", ""left"", ""up"", ""up"", ""left""]",94
1,2/4/23 0:11,23,9.515,"(3, 3)",9,"[""up"", ""up"", ""up"", ""up"", ""left"", ""left""]",-6
2,2/4/23 0:11,5,8.523,"(2, 1)",7,"[""up"", ""up"", ""up"", ""up"", ""right"", ""right""]",94
3,2/4/23 0:11,8,7.54,"(0, 4)",6,"[""up"", ""up"", ""right"", ""up"", ""right"", ""up""]",-6
1,2/4/23 0:11,9,2.988,"(1, 3)",9,"[""up"", ""up"", ""up"", ""up"", ""right"", ""right""]",-6
2,2/4/23 0:11,3,4.074,"(1, 0)",8,"[""up"", ""up"", ""right"", ""right"", ""up"", ""up""]",-6
3,2/4/23 0:11,7,8.873,"(0, 4)",6,"[""up"", ""up"", ""right"", ""up"", ""right"", ""up""]",94
5,2/4/23 0:12,13,4.328,"(3, 3)",9,"[""up"", ""up"", ""right"", ""right"", ""right"", ""right"", ""up"", ""up"", ""left"", ""left""]",90
1,2/4/23 0:12,6,3.494,"(1, 1)",9,"[""right"", ""right"", ""up"", ""up"", ""up"", ""up""]",94
4,2/4/23 0:12,15,35.266,"(2, 0)",6,"[""up"", ""left"", ""up"", ""up"", ""up"", ""left""]",-6
2,2/4/23 0:12,16,7.378,"(1, 3)",7,"[""left"", ""up"", ""up"", ""left"", ""up"", ""up""]",-6
3,2/4/23 0:12,17,3.475,"(3, 0)",6,"[""up"", ""up"", ""up"", ""left"", ""up"", ""left""]",94
3,2/4/23 0:12,19,6.876,"(2, 1)",6,"[""up"", ""up"", ""up"", ""up"", ""left"", ""left""]",94
1,2/4/23 0:12,21,3.019,"(4, 4)",9,"[""up"", ""up"", ""left"", ""left"", ""up"", ""up""]",94
5,2/4/23 0:12,19,5.066,"(2, 3)",8,"[""left"", ""up"", ""up"", ""up"", ""up"", ""left""]",94
2,2/4/23 0:12,28,7.496,"(1, 2)",7,"[""up"", ""left"", ""left"", ""left"", ""left"", ""up"", ""up"", ""right"", ""right"", ""up""]",90
1,2/4/23 0:12,19,2.237,"(2, 1)",9,"[""up"", ""up"", ""up"", ""left"", ""left"", ""up""]",-6
3,2/4/23 0:12,18,3.241,"(4, 2)",9,"[""left"", ""left"", ""up"", ""up"", ""up"", ""up""]",94
2,2/4/23 0:12,17,7.296,"(3, 0)",7,"[""up"", ""left"", ""left"", ""up"", ""up"", ""up""]",-6
5,2/4/23 0:12,6,2.93,"(1, 2)",9,"[""up"", ""up"", ""up"", ""right"", ""right"", ""up""]",94
1,2/4/23 0:12,26,2.229,"(2, 1)",9,"[""up"", ""up"", ""left"", ""left"", ""left"", ""up"", ""up"", ""right""]",-8
4,2/4/23 0:12,28,39.186,"(1, 2)",7,"[""left"", ""up"", ""left"", ""left"", ""left"", ""up"", ""up"", ""up"", ""right"", ""right""]",90
3,2/4/23 0:13,27,5.757,"(1, 3)",6,"[""left"", ""left"", ""up"", ""left"", ""up"", ""left"", ""up"", ""up"", ""right"", ""right""]",90
2,2/4/23 0:13,7,6.451,"(0, 4)",8,"[""up"", ""up"", ""right"", ""up"", ""right"", ""up""]",94
5,2/4/23 0:13,3,2.538,"(1, 0)",9,"[""up"", ""up"", ""right"", ""up"", ""right"", ""up""]",-6
1,2/4/23 0:13,17,3.989,"(2, 3)",9,"[""left"", ""up"", ""up"", ""up"", ""up"", ""left""]",-6
4,2/4/23 0:13,13,14.259,"(3, 3)",7,"[""up"", ""right"", ""right"", ""right"", ""up"", ""right"", ""up"", ""up"", ""left"", ""left""]",-10
3,2/4/23 0:13,12,8.242,"(4, 3)",6,"[""right"", ""up"", ""up"", ""right"", ""right"", ""up"", ""left"", ""up""]",92
5,2/4/23 0:13,5,8.955,"(2, 3)",9,"[""right"", ""up"", ""up"", ""up"", ""up"", ""right""]",94
2,2/4/23 0:13,18,6.951,"(4, 2)",9,"[""up"", ""left"", ""left"", ""up"", ""up"", ""up""]",94
1,2/4/23 0:13,15,2.195,"(2, 0)",9,"[""up"", ""up"", ""up"", ""up"", ""left"", ""left""]",94
4,2/4/23 0:13,22,11.156,"(4, 4)",9,"[""up"", ""up"", ""left"", ""up"", ""left"", ""up""]",-6
3,2/4/23 0:13,22,8.107,"(2, 3)",6,"[""up"", ""up"", ""left"", ""up"", ""up"", ""left""]",94
2,2/4/23 0:14,25,6.768,"(1, 0)",7,"[""up"", ""up"", ""left"", ""left"", ""left"", ""up"", ""up"", ""right""]",92
1,2/4/23 0:14,13,1.586,"(3, 3)",9,"[""right"", ""up"", ""up"", ""right"", ""right"", ""right"", ""up"", ""up"", ""left"", ""left""]",-10
5,2/4/23 0:14,27,5.266,"(1, 3)",9,"[""left"", ""up"", ""left"", ""up"", ""left"", ""left"", ""up"", ""up"", ""right"", ""right""]",-10
4,2/4/23 0:14,9,9.813,"(1, 3)",9,"[""up"", ""up"", ""right"", ""right"", ""up"", ""up""]",94
3,2/4/23 0:14,2,8.478,"(0, 4)",6,"[""up"", ""right"", ""up"", ""right"", ""up"", ""up""]",-6
5,2/4/23 0:14,18,10.29,"(4, 2)",9,"[""up"", ""left"", ""up"", ""left"", ""up"", ""up""]",94
1,2/4/23 0:14,5,1.909,"(2, 3)",9,"[""up"", ""up"", ""up"", ""up"", ""right"", ""right""]",94
2,2/4/23 0:14,22,15.484,"(2, 3)",4,"[""up"", ""up"", ""up"", ""left"", ""up"", ""left""]",94
4,2/4/23 0:14,25,5.956,"(1, 0)",9,"[""left"", ""up"", ""up"", ""left"", ""left"", ""up"", ""up"", ""right""]",92
3,2/4/23 0:14,28,7.057,"(1, 2)",6,"[""left"", ""up"", ""left"", ""left"", ""left"", ""up"", ""up"", ""up"", ""right"", ""right""]",90
2,2/4/23 0:14,13,8.722,"(3, 3)",8,"[""right"", ""right"", ""right"", ""up"", ""up"", ""right"", ""up"", ""up"", ""left"", ""left""]",90
4,2/4/23 0:15,23,11.011,"(3, 3)",6,"[""up"", ""up"", ""up"", ""up"", ""left"", ""left""]",-6
3,2/4/23 0:15,1,7.209,"(2, 0)",6,"[""right"", ""up"", ""right"", ""up"", ""up"", ""up""]",94
4,2/4/23 0:15,14,8.166,"(3, 2)",4,"[""up"", ""right"", ""right"", ""right"", ""right"", ""up"", ""up"", ""up"", ""left"", ""left""]",90
2,2/4/23 0:15,14,6.816,"(3, 2)",3,"[""right"", ""right"", ""up"", ""right"", ""right"", ""up"", ""up"", ""up"", ""left"", ""left""]",-10
5,2/4/23 0:15,11,43.812,"(2, 3)",6,"[""up"", ""right"", ""right"", ""up"", ""right"", ""up"", ""up"", ""left""]",92
3,2/4/23 0:15,6,5.058,"(1, 1)",6,"[""up"", ""up"", ""right"", ""up"", ""up"", ""right""]",-6
2,2/4/23 0:15,26,4.49,"(2, 1)",5,"[""left"", ""up"", ""up"", ""left"", ""left"", ""up"", ""up"", ""right""]",92
5,2/4/23 0:15,7,6.999,"(0, 4)",9,"[""up"", ""up"", ""right"", ""up"", ""up"", ""right""]",94
4,2/4/23 0:15,27,9.942,"(1, 3)",3,"[""left"", ""left"", ""left"", ""up"", ""left"", ""up"", ""up"", ""up"", ""right"", ""right""]",90
3,2/4/23 0:15,9,6.859,"(0, 4)",5,"[""up"", ""up"", ""right"", ""up"", ""up"", ""right""]",-6
2,2/4/23 0:16,19,7.124,"(2, 3)",5,"[""left"", ""up"", ""up"", ""up"", ""up"", ""left""]",94
3,2/4/23 0:16,15,5.14,"(2, 0)",6,"[""up"", ""left"", ""up"", ""left"", ""up"", ""up""]",-6
5,2/4/23 0:16,9,3.702,"(1, 3)",6,"[""up"", ""up"", ""up"", ""up"", ""right"", ""right""]",-6
4,2/4/23 0:16,26,5.861,"(2, 1)",6,"[""up"", ""left"", ""up"", ""left"", ""left"", ""up"", ""up"", ""right""]",92
5,2/4/23 0:16,21,2.741,"(4, 4)",9,"[""up"", ""up"", ""left"", ""left"", ""up"", ""up""]",94
3,2/4/23 0:16,10,9.157,"(4, 4)",5,"[""up"", ""right"", ""up"", ""right"", ""right"", ""up"", ""up"", ""left""]",-8
2,2/4/23 0:16,11,6.489,"(3, 0)",6,"[""up"", ""up"", ""right"", ""right"", ""right"", ""up"", ""left"", ""up""]",-8
4,2/4/23 0:16,3,10.27,"(1, 0)",7,"[""up"", ""right"", ""right"", ""up"", ""up"", ""up""]",-6
5,2/4/23 0:16,4,3.85,"(0, 2)",9,"[""right"", ""right"", ""up"", ""up"", ""up"", ""up""]",94
2,2/4/23 0:17,27,4.006,"(1, 3)",8,"[""up"", ""up"", ""left"", ""left"", ""left"", ""left"", ""up"", ""up"", ""right"", ""right""]",90
4,2/4/23 0:17,12,7.255,"(2, 1)",5,"[""up"", ""up"", ""right"", ""right"", ""right"", ""up"", ""up"", ""left""]",-8
3,2/4/23 0:17,26,5.822,"(4, 2)",5,"[""left"", ""left"", ""up"", ""left"", ""up"", ""up"", ""up"", ""right""]",-8
5,2/4/23 0:17,28,2.632,"(1, 2)",7,"[""left"", ""left"", ""up"", ""left"", ""left"", ""up"", ""up"", ""right"", ""up"", ""right""]",-10
3,2/4/23 0:17,25,5.191,"(2, 3)",6,"[""up"", ""up"", ""left"", ""left"", ""left"", ""up"", ""up"", ""right""]",92
2,2/4/23 0:17,9,7.209,"(1, 3)",6,"[""up"", ""up"", ""up"", ""up"", ""right"", ""right""]",-6
4,2/4/23 0:17,6,15.718,"(1, 2)",8,"[""right"", ""right"", ""up"", ""up"", ""up"", ""up""]",94
5,2/4/23 0:17,22,18.072,"(2, 3)",6,"[""up"", ""up"", ""left"", ""up"", ""up"", ""left""]",94
3,2/4/23 0:17,23,7.905,"(4, 4)",6,"[""up"", ""up"", ""up"", ""left"", ""up"", ""left""]",-6
2,2/4/23 0:17,21,9.386,"(4, 4)",9,"[""up"", ""up"", ""up"", ""left"", ""left"", ""up""]",94
4,2/4/23 0:17,17,5.135,"(3, 0)",6,"[""up"", ""up"", ""left"", ""left"", ""up"", ""up""]",-6
5,2/4/23 0:17,17,3.285,"(3, 0)",9,"[""up"", ""up"", ""left"", ""left"", ""up"", ""up""]",-6
3,2/4/23 0:18,13,5.971,"(3, 3)",5,"[""up"", ""up"", ""right"", ""right"", ""right"", ""right"", ""up"", ""up"", ""left"", ""left""]",90
5,2/4/23 0:18,10,1.945,"(2, 2)",9,"[""up"", ""right"", ""right"", ""right"", ""up"", ""up"", ""up"", ""left""]",92
2,2/4/23 0:18,12,10.791,"(4, 3)",4,"[""right"", ""up"", ""up"", ""right"", ""right"", ""up"", ""left"", ""up""]",92
4,2/4/23 0:18,1,15.682,"(2, 0)",4,"[""up"", ""up"", ""right"", ""up"", ""right"", ""up""]",-6
2,2/4/23 0:18,15,12.194,"(2, 0)",7,"[""up"", ""left"", ""up"", ""left"", ""up"", ""up""]",-6
5,2/4/23 0:18,20,3.341,"(3, 2)",9,"[""left"", ""left"", ""up"", ""up"", ""up"", ""up""]",94
4,2/4/23 0:18,11,6.267,"(3, 0)",3,"[""right"", ""up"", ""up"", ""right"", ""right"", ""up"", ""up"", ""left""]",92
5,2/4/23 0:19,2,3.377,"(1, 1)",9,"[""right"", ""right"", ""up"", ""up"", ""up"", ""up""]",94
4,2/4/23 0:19,4,5.87,"(0, 2)",7,"[""right"", ""up"", ""up"", ""up"", ""up"", ""right""]",94
5,2/4/23 0:19,23,10.354,"(3, 3)",6,"[""up"", ""up"", ""up"", ""up"", ""left"", ""left""]",-6
5,2/4/23 0:19,12,1.467,"(2, 1)",9,"[""up"", ""right"", ""up"", ""right"", ""right"", ""up"", ""left"", ""up""]",92
4,2/4/23 0:19,10,12.17,"(2, 2)",8,"[""up"", ""right"", ""right"", ""right"", ""up"", ""up"", ""up"", ""left""]",92
5,2/4/23 0:20,8,4.734,"(2, 3)",6,"[""up"", ""up"", ""up"", ""up"", ""right"", ""right""]",-6
4,2/4/23 0:20,20,9.17,"(3, 2)",9,"[""left"", ""left"", ""up"", ""up"", ""up"", ""up""]",94
4,2/4/23 0:20,2,8.179,"(1, 1)",4,"[""up"", ""up"", ""up"", ""up"", ""right"", ""right""]",-6
5,2/4/23 0:20,16,13.476,"(4, 4)",6,"[""left"", ""left"", ""up"", ""up"", ""up"", ""up""]",94
4,2/4/23 0:20,5,9.268,"(2, 3)",9,"[""right"", ""up"", ""up"", ""up"", ""up"", ""right""]",94
5,2/4/23 0:21,25,19.391,"(2, 3)",7,"[""up"", ""up"", ""left"", ""left"", ""left"", ""up"", ""up"", ""right""]",92
4,2/4/23 0:21,24,5.659,"(2, 2)",9,"[""left"", ""up"", ""left"", ""left"", ""up"", ""up"", ""up"", ""right""]",92
5,2/4/23 0:21,14,2.36,"(3, 2)",7,"[""right"", ""up"", ""right"", ""right"", ""right"", ""up"", ""up"", ""left"", ""up"", ""left""]",90
5,2/4/23 0:21,15,6.195,"(2, 0)",7,"[""up"", ""up"", ""left"", ""up"", ""up"", ""left""]",-6
4,2/4/23 0:22,8,23.92,"(2, 3)",3,"[""up"", ""up"", ""right"", ""up"", ""up"", ""right""]",94
5,2/4/23 0:22,24,4.668,"(2, 2)",9,"[""left"", ""up"", ""left"", ""left"", ""up"", ""up"", ""right"", ""up""]",92
4,2/4/23 0:22,19,11.617,"(2, 3)",7,"[""up"", ""left"", ""up"", ""up"", ""up"", ""left""]",94
5,2/4/23 0:22,1,4.026,"(2, 0)",7,"[""right"", ""up"", ""right"", ""up"", ""up"", ""up""]",94
5,2/4/23 0:23,26,13.938,"(2, 1)",8,"[""up"", ""left"", ""up"", ""left"", ""left"", ""up"", ""right"", ""up""]",92
6,2/4/23 4:02,24,5.322,"(2, 2)",8,"[""up"", ""left"", ""left"", ""left"", ""up"", ""up"", ""up"", ""right""]",92
6,2/4/23 4:02,15,3.692,"(3, 2)",8,"[""left"", ""left"", ""up"", ""up"", ""up"", ""up""]",-6
6,2/4/23 4:02,12,4.209,"(2, 1)",7,"[""right"", ""up"", ""up"", ""right"", ""right"", ""up"", ""left"", ""up""]",92
6,2/4/23 4:03,8,3.228,"(2, 3)",8,"[""up"", ""up"", ""right"", ""up"", ""up"", ""right""]",94
6,2/4/23 4:03,13,2.411,"(3, 3)",8,"[""right"", ""up"", ""up"", ""right"", ""right"", ""right"", ""up"", ""up"", ""left"", ""left""]",-10
6,2/4/23 4:03,6,2.743,"(1, 2)",8,"[""up"", ""up"", ""up"", ""right"", ""right"", ""up""]",94
7,2/4/23 4:03,25,13.401,"(2, 3)",9,"[""up"", ""left"", ""up"", ""left"", ""left"", ""up"", ""up"", ""right""]",92
6,2/4/23 4:04,25,8.924,"(1, 0)",8,"[""left"", ""up"", ""up"", ""left"", ""left"", ""up"", ""right"", ""up""]",-8
7,2/4/23 4:04,28,6.218,"(1, 2)",2,"[""left"", ""up"", ""left"", ""left"", ""left"", ""up"", ""up"", ""right"", ""up"", ""right""]",90
6,2/4/23 4:04,27,4.844,"(1, 3)",8,"[""left"", ""up"", ""left"", ""up"", ""left"", ""left"", ""up"", ""up"", ""right"", ""right""]",-10
6,2/4/23 4:04,23,5.043,"(3, 3)",8,"[""up"", ""up"", ""left"", ""left"", ""up"", ""up""]",94
7,2/4/23 4:04,23,10.915,"(3, 3)",3,"[""up"", ""up"", ""left"", ""left"", ""up"", ""up""]",94
6,2/4/23 4:05,9,6.591,"(1, 3)",5,"[""up"", ""up"", ""right"", ""right"", ""up"", ""up""]",94
7,2/4/23 4:05,5,10.535,"(2, 3)",5,"[""right"", ""up"", ""up"", ""up"", ""up"", ""right""]",94
6,2/4/23 4:05,10,5.559,"(4, 4)",8,"[""up"", ""up"", ""right"", ""right"", ""right"", ""up"", ""left"", ""up""]",-108
7,2/4/23 4:05,19,8.608,"(2, 1)",1,"[""left"", ""up"", ""up"", ""left"", ""up"", ""up""]",-6
6,2/4/23 4:06,4,4.493,"(0, 2)",8,"[""up"", ""right"", ""up"", ""up"", ""up"", ""right""]",94
7,2/4/23 4:06,10,7.108,"(4, 4)",1,"[""right"", ""up"", ""right"", ""up"", ""right"", ""up"", ""left"", ""up""]",-8
6,2/4/23 4:06,26,2.645,"(2, 1)",8,"[""up"", ""left"", ""up"", ""left"", ""left"", ""up"", ""right"", ""up""]",92
6,2/4/23 4:06,1,2.162,"(1, 2)",8,"[""right"", ""right"", ""up"", ""up"", ""up"", ""up""]",-6
7,2/4/23 4:06,24,2.531,"(2, 2)",3,"[""left"", ""left"", ""left"", ""up"", ""up"", ""up"", ""up"", ""right""]",92
6,2/4/23 4:06,5,4.212,"(2, 3)",8,"[""right"", ""up"", ""up"", ""up"", ""up"", ""right""]",94
7,2/4/23 4:06,3,4.125,"(1, 0)",5,"[""up"", ""up"", ""right"", ""up"", ""up"", ""right""]",94
6,2/4/23 4:07,22,2.06,"(4, 4)",8,"[""up"", ""up"", ""left"", ""left"", ""up"", ""up""]",-6
7,2/4/23 4:07,16,6.274,"(3, 1)",3,"[""left"", ""left"", ""up"", ""up"", ""up"", ""up""]",94
6,2/4/23 4:07,18,3.676,"(4, 2)",8,"[""up"", ""left"", ""left"", ""up"", ""up"", ""up""]",94
7,2/4/23 4:07,8,9.495,"(2, 3)",4,"[""up"", ""up"", ""right"", ""up"", ""up"", ""right""]",94
6,2/4/23 4:07,11,2.713,"(3, 0)",8,"[""up"", ""right"", ""up"", ""right"", ""right"", ""up"", ""left"", ""up""]",-8
7,2/4/23 4:07,11,7.241,"(2, 3)",2,"[""up"", ""right"", ""up"", ""right"", ""right"", ""up"", ""up"", ""left""]",92
6,2/4/23 4:08,28,3.26,"(1, 2)",8,"[""left"", ""left"", ""left"", ""left"", ""up"", ""up"", ""up"", ""right"", ""right"", ""up""]",-10
7,2/4/23 4:08,21,5.011,"(4, 4)",4,"[""up"", ""up"", ""up"", ""left"", ""up"", ""left""]",94
6,2/4/23 4:08,14,6.492,"(3, 2)",7,"[""right"", ""up"", ""right"", ""right"", ""right"", ""up"", ""up"", ""up"", ""left"", ""left""]",90
7,2/4/23 4:08,12,10.728,"(2, 1)",4,"[""right"", ""up"", ""up"", ""right"", ""right"", ""up"", ""up"", ""left""]",92
6,2/4/23 4:08,16,6.847,"(4, 4)",8,"[""left"", ""up"", ""up"", ""up"", ""up"", ""left""]",-6
7,2/4/23 4:09,20,7.504,"(3, 1)",3,"[""up"", ""up"", ""left"", ""up"", ""up"", ""left""]",-6
6,2/4/23 4:09,19,7.445,"(2, 3)",8,"[""up"", ""left"", ""up"", ""up"", ""up"", ""left""]",94
6,2/4/23 4:09,2,3.229,"(0, 4)",8,"[""up"", ""right"", ""right"", ""up"", ""up"", ""up""]",-6
7,2/4/23 4:09,9,9.655,"(4, 2)",3,"[""up"", ""up"", ""up"", ""up"", ""right"", ""right""]",-6
8,2/4/23 4:09,19,17.425,"(2, 3)",9,"[""up"", ""left"", ""up"", ""up"", ""up"", ""left""]",94
6,2/4/23 4:09,17,5.376,"(2, 3)",8,"[""up"", ""up"", ""left"", ""up"", ""up"", ""left""]",94
7,2/4/23 4:09,7,7.358,"(0, 4)",4,"[""up"", ""up"", ""right"", ""up"", ""up"", ""right""]",94
6,2/4/23 4:10,3,3.395,"(2, 3)",8,"[""right"", ""up"", ""up"", ""up"", ""up"", ""right""]",-6
8,2/4/23 4:10,11,6.159,"(3, 0)",9,"[""right"", ""right"", ""up"", ""up"", ""right"", ""up"", ""up"", ""left""]",92
7,2/4/23 4:10,26,6.598,"(2, 1)",4,"[""left"", ""up"", ""up"", ""left"", ""left"", ""up"", ""up"", ""right""]",92
6,2/4/23 4:10,21,2.661,"(4, 4)",8,"[""up"", ""up"", ""left"", ""up"", ""up"", ""left""]",94
7,2/4/23 4:10,6,2.325,"(1, 1)",3,"[""right"", ""right"", ""up"", ""up"", ""up"", ""up""]",94
6,2/4/23 4:10,7,2.761,"(0, 4)",8,"[""up"", ""up"", ""up"", ""right"", ""right"", ""up""]",94
